date,vader_compound,vader_label
2024-12-19,0.128,POSITIVE
2024-12-18,0.7212,POSITIVE
2024-12-23,0.858,POSITIVE
2024-12-09,0.7391,POSITIVE
2024-12-22,0.7173,POSITIVE
2024-12-22,0.2382,POSITIVE
2024-12-19,0.0868,POSITIVE
2024-12-28,0.9406,POSITIVE
2024-12-13,0.69,POSITIVE
2024-12-07,0.6249,POSITIVE
2024-12-07,0.0,NEUTRAL
2024-12-19,-0.782,NEGATIVE
2024-12-28,-0.7764,NEGATIVE
2024-12-20,-0.0869,NEGATIVE
2024-12-01,0.2263,POSITIVE
2024-12-30,0.688,POSITIVE
2024-12-03,0.9365,POSITIVE
2024-12-21,0.8957,POSITIVE
2024-12-29,0.5267,POSITIVE
2024-12-03,-0.8439,NEGATIVE
2024-12-26,0.0,NEUTRAL
2024-12-13,-0.7506,NEGATIVE
2024-12-29,0.81,POSITIVE
2024-12-17,0.9469,POSITIVE
2024-12-18,0.34,POSITIVE
2024-12-20,0.1426,POSITIVE
2024-12-25,0.0,NEUTRAL
2024-12-30,-0.7506,NEGATIVE
2024-12-06,0.0,NEUTRAL
2024-12-03,-0.7915,NEGATIVE
2024-12-22,0.7906,POSITIVE
2024-12-17,-0.7506,NEGATIVE
2024-12-26,-0.9868,NEGATIVE
2024-12-10,0.9011,POSITIVE
2024-12-03,0.3085,POSITIVE
2024-12-06,0.9495,POSITIVE
2024-12-19,0.68,POSITIVE
2024-12-29,0.8074,POSITIVE
2024-12-28,0.4728,POSITIVE
2024-12-07,-0.5166,NEGATIVE
2024-12-20,0.3182,POSITIVE
2024-12-03,0.8319,POSITIVE
2024-12-01,-0.9856,NEGATIVE
2024-12-03,0.0772,POSITIVE
2024-12-05,-0.296,NEGATIVE
2024-12-19,-0.5267,NEGATIVE
2024-12-09,0.6486,POSITIVE
2024-12-05,0.0,NEUTRAL
2024-12-14,0.0,NEUTRAL
2024-12-14,0.5374,POSITIVE
2024-12-25,-0.4632,NEGATIVE
2024-12-29,0.0771,POSITIVE
2024-12-17,0.9184,POSITIVE
2024-12-30,-0.34,NEGATIVE
2024-12-14,0.3612,POSITIVE
2024-12-21,-0.0422,NEUTRAL
2024-12-17,0.0,NEUTRAL
2024-12-07,0.9067,POSITIVE
2024-12-15,0.0,NEUTRAL
2024-12-28,0.7684,POSITIVE
2024-12-06,0.0,NEUTRAL
2024-12-17,0.0,NEUTRAL
2024-12-21,0.6249,POSITIVE
2024-12-27,-0.4767,NEGATIVE
2024-12-01,0.25,POSITIVE
